wandb: Currently logged in as: gauravhb2543 (gauravbhole) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /home/gourav/MLNS/May10/wandb/run-20250511_161742-wanwputm
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sandy-wave-47
wandb: ⭐️ View project at https://wandb.ai/gauravbhole/HyperCLSA
wandb: 🚀 View run at https://wandb.ai/gauravbhole/HyperCLSA/runs/wanwputm
[2025-05-11 16:17:51,490] INFO - --- Fold 1/5 ---
[2025-05-11 16:17:51,519] INFO - Applying feature selection (boruta) for Fold 1
[2025-05-11 16:17:51,560] INFO - Performing FS for view 1 (index 0) in Fold 1
[2025-05-11 16:17:51,561] INFO - Applying boruta feature selection
[2025-05-11 16:29:26,015] INFO - Selected 634 features via boruta
[2025-05-11 16:29:26,029] INFO - Saved features (boruta_fold1) to BRCA/selected_features/view1_fs_boruta_fold1.csv
[2025-05-11 16:29:26,095] INFO - Performing FS for view 3 (index 1) in Fold 1
[2025-05-11 16:29:26,096] INFO - Applying boruta feature selection
[2025-05-11 16:39:05,079] INFO - Selected 243 features via boruta
[2025-05-11 16:39:05,082] INFO - Saved features (boruta_fold1) to BRCA/selected_features/view3_fs_boruta_fold1.csv
[2025-05-11 16:39:08,750] INFO - Fold 1 Epoch 10/5000: Loss 3.2900, Val F1-Macro 0.3267
[2025-05-11 16:39:08,814] INFO - Fold 1 Epoch 20/5000: Loss 2.8633, Val F1-Macro 0.3224
[2025-05-11 16:39:08,861] INFO - Fold 1 Epoch 30/5000: Loss 2.6883, Val F1-Macro 0.5194
[2025-05-11 16:39:08,914] INFO - Fold 1 Epoch 40/5000: Loss 2.5663, Val F1-Macro 0.6501
[2025-05-11 16:39:08,961] INFO - Fold 1 Epoch 50/5000: Loss 2.4709, Val F1-Macro 0.7147
[2025-05-11 16:39:09,007] INFO - Fold 1 Epoch 60/5000: Loss 2.4231, Val F1-Macro 0.7767
[2025-05-11 16:39:09,057] INFO - Fold 1 Epoch 70/5000: Loss 2.3642, Val F1-Macro 0.7847
[2025-05-11 16:39:09,107] INFO - Fold 1 Epoch 80/5000: Loss 2.3092, Val F1-Macro 0.8080
[2025-05-11 16:39:09,152] INFO - Fold 1 Epoch 90/5000: Loss 2.2735, Val F1-Macro 0.8063
[2025-05-11 16:39:09,198] INFO - Fold 1 Epoch 100/5000: Loss 2.2390, Val F1-Macro 0.7891
[2025-05-11 16:39:09,260] INFO - Fold 1 Epoch 110/5000: Loss 2.2676, Val F1-Macro 0.7632
[2025-05-11 16:39:09,327] INFO - Fold 1 Epoch 120/5000: Loss 2.2465, Val F1-Macro 0.8003
[2025-05-11 16:39:09,391] INFO - Fold 1 Epoch 130/5000: Loss 2.2292, Val F1-Macro 0.7984
[2025-05-11 16:39:09,436] INFO - Fold 1 Epoch 140/5000: Loss 2.1884, Val F1-Macro 0.8415
[2025-05-11 16:39:09,479] INFO - Fold 1 Epoch 150/5000: Loss 2.1757, Val F1-Macro 0.8520
[2025-05-11 16:39:09,524] INFO - Fold 1 Epoch 160/5000: Loss 2.1592, Val F1-Macro 0.8522
[2025-05-11 16:39:09,568] INFO - Fold 1 Epoch 170/5000: Loss 2.1605, Val F1-Macro 0.8725
[2025-05-11 16:39:09,612] INFO - Fold 1 Epoch 180/5000: Loss 2.1594, Val F1-Macro 0.8479
[2025-05-11 16:39:09,655] INFO - Fold 1 Epoch 190/5000: Loss 2.1374, Val F1-Macro 0.8350
[2025-05-11 16:39:09,700] INFO - Fold 1 Epoch 200/5000: Loss 2.1404, Val F1-Macro 0.8351
[2025-05-11 16:39:09,744] INFO - Fold 1 Epoch 210/5000: Loss 2.1848, Val F1-Macro 0.8741
[2025-05-11 16:39:09,788] INFO - Fold 1 Epoch 220/5000: Loss 2.1518, Val F1-Macro 0.8236
[2025-05-11 16:39:09,830] INFO - Fold 1 Epoch 230/5000: Loss 2.1257, Val F1-Macro 0.8659
[2025-05-11 16:39:09,876] INFO - Fold 1 Epoch 240/5000: Loss 2.1152, Val F1-Macro 0.8161
[2025-05-11 16:39:09,919] INFO - Fold 1 Epoch 250/5000: Loss 2.1486, Val F1-Macro 0.8290
[2025-05-11 16:39:09,964] INFO - Fold 1 Epoch 260/5000: Loss 2.1287, Val F1-Macro 0.8314
[2025-05-11 16:39:10,009] INFO - Fold 1 Epoch 270/5000: Loss 2.1244, Val F1-Macro 0.7973
[2025-05-11 16:39:10,052] INFO - Fold 1 Epoch 280/5000: Loss 2.1036, Val F1-Macro 0.8079
[2025-05-11 16:39:10,109] INFO - Fold 1 Epoch 290/5000: Loss 2.1148, Val F1-Macro 0.8692
[2025-05-11 16:39:10,154] INFO - Fold 1 Epoch 300/5000: Loss 2.0893, Val F1-Macro 0.8556
[2025-05-11 16:39:10,196] INFO - Fold 1 Epoch 310/5000: Loss 2.0846, Val F1-Macro 0.8357
[2025-05-11 16:39:10,240] INFO - Fold 1 Epoch 320/5000: Loss 2.0933, Val F1-Macro 0.7321
[2025-05-11 16:39:10,283] INFO - Fold 1 Epoch 330/5000: Loss 2.0910, Val F1-Macro 0.8239
[2025-05-11 16:39:10,327] INFO - Fold 1 Epoch 340/5000: Loss 2.0701, Val F1-Macro 0.8310
[2025-05-11 16:39:10,371] INFO - Fold 1 Epoch 350/5000: Loss 2.0829, Val F1-Macro 0.8461
[2025-05-11 16:39:10,419] INFO - Fold 1 Epoch 360/5000: Loss 2.0582, Val F1-Macro 0.8526
[2025-05-11 16:39:10,463] INFO - Fold 1 Epoch 370/5000: Loss 2.0561, Val F1-Macro 0.8333
[2025-05-11 16:39:10,506] INFO - Fold 1 Epoch 380/5000: Loss 2.0601, Val F1-Macro 0.8598
[2025-05-11 16:39:10,553] INFO - Fold 1 Epoch 390/5000: Loss 2.0489, Val F1-Macro 0.8272
[2025-05-11 16:39:10,620] INFO - Fold 1 Epoch 400/5000: Loss 2.0583, Val F1-Macro 0.8496
[2025-05-11 16:39:10,667] INFO - Fold 1 Epoch 410/5000: Loss 2.0607, Val F1-Macro 0.8232
[2025-05-11 16:39:10,729] INFO - Fold 1 Epoch 420/5000: Loss 2.0701, Val F1-Macro 0.8292
[2025-05-11 16:39:10,782] INFO - Fold 1 Epoch 430/5000: Loss 2.0621, Val F1-Macro 0.8674
[2025-05-11 16:39:10,850] INFO - Fold 1 Epoch 440/5000: Loss 2.0455, Val F1-Macro 0.8545
[2025-05-11 16:39:10,944] INFO - Fold 1 Epoch 450/5000: Loss 2.0649, Val F1-Macro 0.7922
[2025-05-11 16:39:11,013] INFO - Fold 1 Epoch 460/5000: Loss 2.0407, Val F1-Macro 0.8450
[2025-05-11 16:39:11,083] INFO - Fold 1 Epoch 470/5000: Loss 2.0386, Val F1-Macro 0.8110
[2025-05-11 16:39:11,127] INFO - Fold 1 Epoch 480/5000: Loss 2.0347, Val F1-Macro 0.8125
[2025-05-11 16:39:11,177] INFO - Fold 1 Epoch 490/5000: Loss 2.0428, Val F1-Macro 0.8240
[2025-05-11 16:39:11,240] INFO - Fold 1 Epoch 500/5000: Loss 2.0604, Val F1-Macro 0.7781
[2025-05-11 16:39:11,286] INFO - Fold 1 Epoch 510/5000: Loss 2.0634, Val F1-Macro 0.8020
[2025-05-11 16:39:11,330] INFO - Fold 1 Epoch 520/5000: Loss 2.0557, Val F1-Macro 0.8224
[2025-05-11 16:39:11,372] INFO - Fold 1 Epoch 530/5000: Loss 2.1563, Val F1-Macro 0.7894
[2025-05-11 16:39:11,415] INFO - Fold 1 Epoch 540/5000: Loss 2.0956, Val F1-Macro 0.7263
[2025-05-11 16:39:11,467] INFO - Fold 1 Epoch 550/5000: Loss 3.1239, Val F1-Macro 0.6230
[2025-05-11 16:39:11,532] INFO - Fold 1 Epoch 560/5000: Loss 2.5619, Val F1-Macro 0.7306
[2025-05-11 16:39:11,575] INFO - Fold 1 Epoch 570/5000: Loss 2.3331, Val F1-Macro 0.8311
[2025-05-11 16:39:11,619] INFO - Fold 1 Epoch 580/5000: Loss 2.3310, Val F1-Macro 0.6947
[2025-05-11 16:39:11,664] INFO - Fold 1 Epoch 590/5000: Loss 2.3825, Val F1-Macro 0.8085
[2025-05-11 16:39:11,708] INFO - Fold 1 Epoch 600/5000: Loss 2.2318, Val F1-Macro 0.8063
[2025-05-11 16:39:11,753] INFO - Fold 1 Epoch 610/5000: Loss 2.1860, Val F1-Macro 0.8478
[2025-05-11 16:39:11,797] INFO - Fold 1 Epoch 620/5000: Loss 2.1476, Val F1-Macro 0.8697
[2025-05-11 16:39:11,842] INFO - Fold 1 Epoch 630/5000: Loss 2.1195, Val F1-Macro 0.8436
[2025-05-11 16:39:11,898] INFO - Fold 1 Epoch 640/5000: Loss 2.1270, Val F1-Macro 0.8338
[2025-05-11 16:39:11,999] INFO - Fold 1 Epoch 650/5000: Loss 2.1188, Val F1-Macro 0.8610
[2025-05-11 16:39:12,068] INFO - Fold 1 Epoch 660/5000: Loss 2.0895, Val F1-Macro 0.8415
[2025-05-11 16:39:12,112] INFO - Fold 1 Epoch 670/5000: Loss 2.0890, Val F1-Macro 0.8278
[2025-05-11 16:39:12,155] INFO - Fold 1 Epoch 680/5000: Loss 2.0860, Val F1-Macro 0.8559
[2025-05-11 16:39:12,197] INFO - Fold 1 Epoch 690/5000: Loss 2.0846, Val F1-Macro 0.8501
[2025-05-11 16:39:12,240] INFO - Fold 1 Epoch 700/5000: Loss 2.0645, Val F1-Macro 0.8288
[2025-05-11 16:39:12,282] INFO - Fold 1 Epoch 710/5000: Loss 2.0676, Val F1-Macro 0.7890
[2025-05-11 16:39:12,323] INFO - Fold 1 Epoch 720/5000: Loss 2.0542, Val F1-Macro 0.8252
[2025-05-11 16:39:12,377] INFO - Fold 1 Epoch 730/5000: Loss 2.0541, Val F1-Macro 0.8108
[2025-05-11 16:39:12,448] INFO - Fold 1 Epoch 740/5000: Loss 2.0669, Val F1-Macro 0.8174
[2025-05-11 16:39:12,540] INFO - Fold 1 Epoch 750/5000: Loss 2.0483, Val F1-Macro 0.8103
[2025-05-11 16:39:12,604] INFO - Fold 1 Epoch 760/5000: Loss 2.0388, Val F1-Macro 0.8260
[2025-05-11 16:39:12,647] INFO - Fold 1 Epoch 770/5000: Loss 2.0317, Val F1-Macro 0.8101
[2025-05-11 16:39:12,693] INFO - Fold 1 Epoch 780/5000: Loss 2.0456, Val F1-Macro 0.8239
[2025-05-11 16:39:12,741] INFO - Fold 1 Epoch 790/5000: Loss 2.0369, Val F1-Macro 0.8225
[2025-05-11 16:39:12,786] INFO - Fold 1 Epoch 800/5000: Loss 2.0212, Val F1-Macro 0.7841
[2025-05-11 16:39:12,847] INFO - Fold 1 Epoch 810/5000: Loss 2.0101, Val F1-Macro 0.8160
[2025-05-11 16:39:12,902] INFO - Fold 1 Epoch 820/5000: Loss 2.0064, Val F1-Macro 0.7867
[2025-05-11 16:39:12,953] INFO - Fold 1 Epoch 830/5000: Loss 2.0094, Val F1-Macro 0.7870
[2025-05-11 16:39:13,003] INFO - Fold 1 Epoch 840/5000: Loss 2.0333, Val F1-Macro 0.8024
[2025-05-11 16:39:13,052] INFO - Fold 1 Epoch 850/5000: Loss 2.0131, Val F1-Macro 0.8213
[2025-05-11 16:39:13,096] INFO - Fold 1 Epoch 860/5000: Loss 2.0005, Val F1-Macro 0.8099
[2025-05-11 16:39:13,139] INFO - Fold 1 Epoch 870/5000: Loss 2.0019, Val F1-Macro 0.8590
[2025-05-11 16:39:13,182] INFO - Fold 1 Epoch 880/5000: Loss 2.0000, Val F1-Macro 0.8305
[2025-05-11 16:39:13,229] INFO - Fold 1 Epoch 890/5000: Loss 1.9834, Val F1-Macro 0.8199
[2025-05-11 16:39:13,294] INFO - Fold 1 Epoch 900/5000: Loss 1.9844, Val F1-Macro 0.7736
[2025-05-11 16:39:13,354] INFO - Fold 1 Epoch 910/5000: Loss 1.9747, Val F1-Macro 0.8400
[2025-05-11 16:39:13,413] INFO - Fold 1 Epoch 920/5000: Loss 2.0121, Val F1-Macro 0.7929
[2025-05-11 16:39:13,480] INFO - Fold 1 Epoch 930/5000: Loss 2.0050, Val F1-Macro 0.8646
[2025-05-11 16:39:13,546] INFO - Fold 1 Epoch 940/5000: Loss 1.9895, Val F1-Macro 0.7715
[2025-05-11 16:39:13,593] INFO - Fold 1 Epoch 950/5000: Loss 1.9918, Val F1-Macro 0.8286
[2025-05-11 16:39:13,640] INFO - Fold 1 Epoch 960/5000: Loss 2.0088, Val F1-Macro 0.8119
[2025-05-11 16:39:13,691] INFO - Fold 1 Epoch 970/5000: Loss 1.9715, Val F1-Macro 0.8001
[2025-05-11 16:39:13,742] INFO - Fold 1 Epoch 980/5000: Loss 1.9961, Val F1-Macro 0.7850
[2025-05-11 16:39:13,787] INFO - Fold 1 Epoch 990/5000: Loss 1.9887, Val F1-Macro 0.8385
[2025-05-11 16:39:13,831] INFO - Fold 1 Epoch 1000/5000: Loss 1.9618, Val F1-Macro 0.7972
[2025-05-11 16:39:13,875] INFO - Fold 1 Epoch 1010/5000: Loss 1.9643, Val F1-Macro 0.8239
[2025-05-11 16:39:13,920] INFO - Fold 1 Epoch 1020/5000: Loss 1.9528, Val F1-Macro 0.7979
[2025-05-11 16:39:13,964] INFO - Fold 1 Epoch 1030/5000: Loss 1.9460, Val F1-Macro 0.8544
[2025-05-11 16:39:14,008] INFO - Fold 1 Epoch 1040/5000: Loss 1.9502, Val F1-Macro 0.7962
[2025-05-11 16:39:14,056] INFO - Fold 1 Epoch 1050/5000: Loss 1.9600, Val F1-Macro 0.8114
[2025-05-11 16:39:14,100] INFO - Fold 1 Epoch 1060/5000: Loss 1.9434, Val F1-Macro 0.8068
[2025-05-11 16:39:14,144] INFO - Fold 1 Epoch 1070/5000: Loss 1.9499, Val F1-Macro 0.7583
[2025-05-11 16:39:14,187] INFO - Fold 1 Epoch 1080/5000: Loss 1.9499, Val F1-Macro 0.8403
[2025-05-11 16:39:14,230] INFO - Fold 1 Epoch 1090/5000: Loss 1.9460, Val F1-Macro 0.7681
[2025-05-11 16:39:14,273] INFO - Fold 1 Epoch 1100/5000: Loss 1.9669, Val F1-Macro 0.8308
[2025-05-11 16:39:14,317] INFO - Fold 1 Epoch 1110/5000: Loss 1.9539, Val F1-Macro 0.8067
[2025-05-11 16:39:14,369] INFO - Fold 1 Epoch 1120/5000: Loss 1.9505, Val F1-Macro 0.7765
[2025-05-11 16:39:14,413] INFO - Fold 1 Epoch 1130/5000: Loss 1.9485, Val F1-Macro 0.8265
[2025-05-11 16:39:14,459] INFO - Fold 1 Epoch 1140/5000: Loss 3.2147, Val F1-Macro 0.5019
[2025-05-11 16:39:14,502] INFO - Fold 1 Epoch 1150/5000: Loss 3.9624, Val F1-Macro 0.2104
[2025-05-11 16:39:14,570] INFO - Fold 1 Epoch 1160/5000: Loss 3.5760, Val F1-Macro 0.3894
[2025-05-11 16:39:14,657] INFO - Fold 1 Epoch 1170/5000: Loss 3.0105, Val F1-Macro 0.6159
[2025-05-11 16:39:14,724] INFO - Fold 1 Epoch 1180/5000: Loss 2.8031, Val F1-Macro 0.5990
[2025-05-11 16:39:14,772] INFO - Fold 1 Epoch 1190/5000: Loss 2.7234, Val F1-Macro 0.5944
[2025-05-11 16:39:14,814] INFO - Fold 1 Epoch 1200/5000: Loss 2.6753, Val F1-Macro 0.6273
[2025-05-11 16:39:14,859] INFO - Fold 1 Epoch 1210/5000: Loss 2.6474, Val F1-Macro 0.6279
