wandb: Currently logged in as: gauravhb2543 (gauravbhole) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /home/gourav/MLNS/May10/wandb/run-20250511_161755-w1uuinew
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run lilac-snow-48
wandb: ⭐️ View project at https://wandb.ai/gauravbhole/HyperCLSA
wandb: 🚀 View run at https://wandb.ai/gauravbhole/HyperCLSA/runs/w1uuinew
[2025-05-11 16:18:02,698] INFO - --- Fold 1/5 ---
[2025-05-11 16:18:02,753] INFO - Applying feature selection (boruta) for Fold 1
[2025-05-11 16:18:02,768] INFO - Performing FS for view 2 (index 0) in Fold 1
[2025-05-11 16:18:02,769] INFO - Applying boruta feature selection
[2025-05-11 16:20:17,897] INFO - Selected 87 features via boruta
[2025-05-11 16:20:17,913] INFO - Saved features (boruta_fold1) to BRCA/selected_features/view2_fs_boruta_fold1.csv
[2025-05-11 16:20:18,081] INFO - Performing FS for view 3 (index 1) in Fold 1
[2025-05-11 16:20:18,081] INFO - Applying boruta feature selection
[2025-05-11 16:29:23,573] INFO - Selected 243 features via boruta
[2025-05-11 16:29:23,579] INFO - Saved features (boruta_fold1) to BRCA/selected_features/view3_fs_boruta_fold1.csv
[2025-05-11 16:29:28,648] INFO - Fold 1 Epoch 10/5000: Loss 3.3503, Val F1-Macro 0.1395
[2025-05-11 16:29:28,696] INFO - Fold 1 Epoch 20/5000: Loss 2.8805, Val F1-Macro 0.3170
[2025-05-11 16:29:28,741] INFO - Fold 1 Epoch 30/5000: Loss 2.7851, Val F1-Macro 0.5075
[2025-05-11 16:29:28,786] INFO - Fold 1 Epoch 40/5000: Loss 2.6914, Val F1-Macro 0.5607
[2025-05-11 16:29:28,856] INFO - Fold 1 Epoch 50/5000: Loss 2.5992, Val F1-Macro 0.5399
[2025-05-11 16:29:28,904] INFO - Fold 1 Epoch 60/5000: Loss 2.5882, Val F1-Macro 0.5968
[2025-05-11 16:29:28,950] INFO - Fold 1 Epoch 70/5000: Loss 2.5600, Val F1-Macro 0.5674
[2025-05-11 16:29:28,996] INFO - Fold 1 Epoch 80/5000: Loss 2.4713, Val F1-Macro 0.5894
[2025-05-11 16:29:29,043] INFO - Fold 1 Epoch 90/5000: Loss 2.4712, Val F1-Macro 0.6498
[2025-05-11 16:29:29,091] INFO - Fold 1 Epoch 100/5000: Loss 2.4307, Val F1-Macro 0.6470
[2025-05-11 16:29:29,135] INFO - Fold 1 Epoch 110/5000: Loss 2.4574, Val F1-Macro 0.6771
[2025-05-11 16:29:29,180] INFO - Fold 1 Epoch 120/5000: Loss 2.3970, Val F1-Macro 0.6606
[2025-05-11 16:29:29,222] INFO - Fold 1 Epoch 130/5000: Loss 2.3498, Val F1-Macro 0.6879
[2025-05-11 16:29:29,266] INFO - Fold 1 Epoch 140/5000: Loss 2.3684, Val F1-Macro 0.6618
[2025-05-11 16:29:29,315] INFO - Fold 1 Epoch 150/5000: Loss 2.3075, Val F1-Macro 0.6948
[2025-05-11 16:29:29,365] INFO - Fold 1 Epoch 160/5000: Loss 2.2881, Val F1-Macro 0.7041
[2025-05-11 16:29:29,426] INFO - Fold 1 Epoch 170/5000: Loss 2.2518, Val F1-Macro 0.7157
[2025-05-11 16:29:29,475] INFO - Fold 1 Epoch 180/5000: Loss 2.2295, Val F1-Macro 0.7093
